층,A,관계,B,방향,조건,조건극성,부호,무게,등급,표본,출처수,교차확인,왜,사슬,근거,대주제A,대주제B,간선id
"L1결정론","협록","산출","미토(未)","a→b","정화 · 판본 성립 조건 갈림 — 두 글자 다 있어야 한다 vs 한 글자만 있어도 된다(사공은 허자 개념으로 배치·운에 따라 다르다는 입장) · 기토 · 판본 성립 조건 갈림 — 두 글자 다 있어야 한다 vs 한 글자만 있어도 된다(사공은 허자 개념으로 배치·운에 따라 다르다는 입장) · 경금 · 판본 성립 조건 갈림 — 두 글자 다 있어야 한다 vs 한 글자만 있어도 된다(사공은 허자 개념으로 배치·운에 따라 다르다는 입장)","","","1.0","","","","","공리","","[웹:사공] 웹 「협록」 SG-SINSAL-P011-04 — 정화 → 미토 / 웹 「협록」 SG-SINSAL-P011-04 — 기토 → 미토 / 웹 「협록」 SG-SINSAL-P011-04 — 경금 → 미토","S06 신살","S03 지지·지장간","E-bca3a58a"
"L1결정론","협록","산출","유금(酉)","a→b","경금 · 판본 성립 조건 갈림 — 두 글자 다 있어야 한다 vs 한 글자만 있어도 된다(사공은 허자 개념으로 배치·운에 따라 다르다는 입장)","","","1.0","","","","","공리","","[웹:사공] 웹 「협록」 SG-SINSAL-P011-04 — 경금 → 유금","S06 신살","S03 지지·지장간","E-7a655611"
"L1결정론","협록","산출","신금(申)","a→b","신금 · 판본 성립 조건 갈림 — 두 글자 다 있어야 한다 vs 한 글자만 있어도 된다(사공은 허자 개념으로 배치·운에 따라 다르다는 입장)","","","1.0","","","","","공리","","[웹:사공] 웹 「협록」 SG-SINSAL-P011-04 — 신금 → 신금","S06 신살","S03 지지·지장간","E-27a13dfe"
"L1결정론","협록","산출","술토(戌)","a→b","신금 · 판본 성립 조건 갈림 — 두 글자 다 있어야 한다 vs 한 글자만 있어도 된다(사공은 허자 개념으로 배치·운에 따라 다르다는 입장) · 임수 · 판본 성립 조건 갈림 — 두 글자 다 있어야 한다 vs 한 글자만 있어도 된다(사공은 허자 개념으로 배치·운에 따라 다르다는 입장)","","","1.0","","","","","공리","","[웹:사공] 웹 「협록」 SG-SINSAL-P011-04 — 신금 → 술토 / 웹 「협록」 SG-SINSAL-P011-04 — 임수 → 술토","S06 신살","S03 지지·지장간","E-127cd18d"
"L1결정론","협록","산출","자수(子)","a→b","임수 · 판본 성립 조건 갈림 — 두 글자 다 있어야 한다 vs 한 글자만 있어도 된다(사공은 허자 개념으로 배치·운에 따라 다르다는 입장)","","","1.0","","","","","공리","","[웹:사공] 웹 「협록」 SG-SINSAL-P011-04 — 임수 → 자수","S06 신살","S03 지지·지장간","E-6ad16e98"
"L1결정론","협록","산출","해수(亥)","a→b","계수 · 판본 성립 조건 갈림 — 두 글자 다 있어야 한다 vs 한 글자만 있어도 된다(사공은 허자 개념으로 배치·운에 따라 다르다는 입장)","","","1.0","","","","","공리","","[웹:사공] 웹 「협록」 SG-SINSAL-P011-04 — 계수 → 해수","S06 신살","S03 지지·지장간","E-6a0af6ae"
"L1결정론","홍염","산출","오화(午)","a→b","일간이 을(乙)목(-) · 자리는 월지 · 일간이 갑(甲)목(+) · 자리는 사(死) · 일간이 갑목 · 판본 일간 기준. 학파에 따라 년간 기준으로 보기도 한다(사공 명시) · 일간이 을목 · 판본 일간 기준. 학파에 따라 년간 기준으로 보기도 한다(사공 명시) · 일간이 갑목(甲) · 일간이 을목(乙)","","","1.0","","","","","공리","","[방법론 보드·웹:사공] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 홍염살 → 오(午) / 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 홍염살 → 오(午) / 웹 조견표 「홍염」 SG-SINSAL-P013-10 — 갑목 → 오화 / 웹 조견표 「홍염」 SG-S","S06 신살","S03 지지·지장간","E-8307ffe1"
"L1결정론","홍염","산출","진토(辰)","a→b","일간이 기(己)토(-) · 자리는 월지 · 일간이 무(戊)토(+) · 자리는 관대(冠帶) · 일간이 무토 · 판본 일간 기준. 학파에 따라 년간 기준으로 보기도 한다(사공 명시) · 일간이 기토 · 판본 일간 기준. 학파에 따라 년간 기준으로 보기도 한다(사공 명시) · 일간이 무토(戊) · 일간이 기토(己)","","","1.0","","","","","공리","","[방법론 보드·웹:사공] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 홍염살 → 진(辰) / 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 홍염살 → 진(辰) / 웹 조견표 「홍염」 SG-SINSAL-P013-10 — 무토 → 진토 / 웹 조견표 「홍염」 SG-S","S06 신살","S03 지지·지장간","E-bf66f305"
"L1결정론","홍염","산출","신금(申)","a→b","일간이 계(癸)수(-) · 자리는 월지 · 일간이 계수 · 판본 일간 기준. 학파에 따라 년간 기준으로 보기도 한다(사공 명시) · 일간이 계수(癸)","","","1.0","","","","","공리","","[방법론 보드·웹:사공] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 홍염살(+) → 신(申) / 웹 조견표 「홍염」 SG-SINSAL-P013-10 — 계수 → 신금 / 조견표(sinsal.js) — 일간 계수(癸) → 신금(申)","S06 신살","S03 지지·지장간","E-9eabf95c"
"L1결정론","홍염","산출","인목(寅)","a→b","일간이 병(丙)화(+) · 자리는 장생(長生) · 일간이 병화 · 판본 일간 기준. 학파에 따라 년간 기준으로 보기도 한다(사공 명시) · 일간이 병화(丙)","","","1.0","","","","","공리","","[방법론 보드·웹:사공] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 홍염살 → 인(寅) / 웹 조견표 「홍염」 SG-SINSAL-P013-10 — 병화 → 인목 / 조견표(sinsal.js) — 일간 병화(丙) → 인목(寅)","S06 신살","S03 지지·지장간","E-a8dbebf0"
"L1결정론","홍염","산출","유금(酉)","a→b","일간이 신(辛)금(-) · 자리는 건록(乾祿) · 일간이 신금 · 판본 일간 기준. 학파에 따라 년간 기준으로 보기도 한다(사공 명시) · 일간이 신금(辛)","","","1.0","","","","","공리","","[방법론 보드·웹:사공] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 홍염살 → 유(酉) / 웹 조견표 「홍염」 SG-SINSAL-P013-10 — 신금 → 유금 / 조견표(sinsal.js) — 일간 신금(辛) → 유금(酉)","S06 신살","S03 지지·지장간","E-c009725b"
"L1결정론","홍염","산출","자수(子)","a→b","일간이 임(壬)수(+) · 자리는 제왕(帝旺) · 일간이 임수 · 판본 일간 기준. 학파에 따라 년간 기준으로 보기도 한다(사공 명시) · 일간이 임수(壬)","","","1.0","","","","","공리","","[방법론 보드·웹:사공] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 홍염살 → 자(子) / 웹 조견표 「홍염」 SG-SINSAL-P013-10 — 임수 → 자수 / 조견표(sinsal.js) — 일간 임수(壬) → 자수(子)","S06 신살","S03 지지·지장간","E-490c01f8"
"L1결정론","홍염","산출","술토(戌)","a→b","일간이 경(庚)금(+) · 자리는 쇠(衰) · 일간이 경금 · 판본 일간 기준. 학파에 따라 년간 기준으로 보기도 한다(사공 명시) · 일간이 경금(庚)","","","1.0","","","","","공리","","[방법론 보드·웹:사공] 방법론 보드 「일간 × 십이운성 격자에 걸리는 신살」 — 홍염살 → 술(戌) / 웹 조견표 「홍염」 SG-SINSAL-P013-10 — 경금 → 술토 / 조견표(sinsal.js) — 일간 경금(庚) → 술토(戌)","S06 신살","S03 지지·지장간","E-4bae1154"
"L1결정론","홍염","산출","미토(未)","a→b","일간이 정화 · 판본 일간 기준. 학파에 따라 년간 기준으로 보기도 한다(사공 명시) · 일간이 정화(丁)","","","1.0","","","","","공리","","[웹:사공] 웹 조견표 「홍염」 SG-SINSAL-P013-10 — 정화 → 미토 / 조견표(sinsal.js) — 일간 정화(丁) → 미토(未)","S06 신살","S03 지지·지장간","E-e6de9cb9"
"L1결정론","화(火)","생","토(土)","a→b","","","+","1.0","","","","","공리","","오행 상생","S01 음양·오행","S01 음양·오행","E-1ae8e64f"
"L1결정론","화(火)","극","금(金)","a→b","","","-","1.0","","","","","공리","","오행 상극","S01 음양·오행","S01 음양·오행","E-e4a6188e"
"L1결정론","화개","산출","고지(화개)","a→b","현재 삼합국의 고지 · 기준지는 연지(기존 명리) 또는 일지(현대 명리) — 판본 갈림 · 판본 기존 명리: 연지(사회 → 나) / 현대 명리: 일지(내 행동 → 사회) — 둘 병기","","","1.0","","","","","공리","","[방법론 보드] 방법론 보드 「십이신살 산출 조건 (삼합/방합 상대 위치)」 — 화개살 = 현재 삼합국의 고지","S06 신살","S03 지지·지장간","E-1ac2d80d"
"L1결정론","화개","산출","미토(未)","a→b","기준지가 봄 (목국) · 판본 기존 명리=연지 기준 / 현대 명리=일지 기준 (둘 다 원문 병기) · 년지 또는 일지 삼합이 해묘미(목) · 기준 삼합이 해묘미(목)","","","1.0","","","","","공리","","[방법론 보드·웹:사공] 방법론 보드 「십이신살 완전표 (기준 계절국 × 신살 14종)」 — 화개살 → 미(未) / 웹 조견표 「화개」 SG-SINSAL-P015-03 — 해묘미(목) → 미토 / 십이신살 규칙 — 해묘미(목) 기준 화개살 = 미토(未) (겁살 = 왕지 묘목(卯) + 5","S06 신살","S03 지지·지장간","E-fe4ff4c4"
"L1결정론","화개","산출","술토(戌)","a→b","기준지가 여름 (화국) · 판본 기존 명리=연지 기준 / 현대 명리=일지 기준 (둘 다 원문 병기) · 년지 또는 일지 삼합이 인오술(화) · 기준 삼합이 인오술(화)","","","1.0","","","","","공리","","[방법론 보드·웹:사공] 방법론 보드 「십이신살 완전표 (기준 계절국 × 신살 14종)」 — 화개살 → 술(戌) / 웹 조견표 「화개」 SG-SINSAL-P015-03 — 인오술(화) → 술토 / 십이신살 규칙 — 인오술(화) 기준 화개살 = 술토(戌) (겁살 = 왕지 오화(午) + 5","S06 신살","S03 지지·지장간","E-2477cc26"
"L1결정론","화개","산출","축토(丑)","a→b","기준지가 가을 (금국) · 판본 기존 명리=연지 기준 / 현대 명리=일지 기준 (둘 다 원문 병기) · 년지 또는 일지 삼합이 사유축(금) · 기준 삼합이 사유축(금)","","","1.0","","","","","공리","","[방법론 보드·웹:사공] 방법론 보드 「십이신살 완전표 (기준 계절국 × 신살 14종)」 — 화개살 → 축(丑) / 웹 조견표 「화개」 SG-SINSAL-P015-03 — 사유축(금) → 축토 / 십이신살 규칙 — 사유축(금) 기준 화개살 = 축토(丑) (겁살 = 왕지 유금(酉) + 5","S06 신살","S03 지지·지장간","E-8d55b209"
"L1결정론","화개","산출","진토(辰)","a→b","기준지가 겨울 (수국) · 판본 기존 명리=연지 기준 / 현대 명리=일지 기준 (둘 다 원문 병기) · 년지 또는 일지 삼합이 신자진(수) · 기준 삼합이 신자진(수)","","","1.0","","","","","공리","","[방법론 보드·웹:사공] 방법론 보드 「십이신살 완전표 (기준 계절국 × 신살 14종)」 — 화개살 → 진(辰) / 웹 조견표 「화개」 SG-SINSAL-P015-03 — 신자진(수) → 진토 / 십이신살 규칙 — 신자진(수) 기준 화개살 = 진토(辰) (겁살 = 왕지 자수(子) + 5","S06 신살","S03 지지·지장간","E-7b6d199c"
"L1결정론","희신","생","용신(총칭)","a→b","희신은 용신을 생하는 오행이다","","+","1.0","","","","","공리","","희신 정의 — 용신을 생한다 (웹:초코서당 CT-P206-03)","S09 용신","S14 기본 골격어","E-653eeddd"
"L1결정론","60간지론","적용","연주","a→b","","","중립","0.9","","","","","인과","","네 기둥이 각각 60갑자 하나","S12 역사·이론사·인물","S13 자리(궁위)·원국 구조","E-4d064800"
"L1결정론","60간지론","적용","월주","a→b","","","중립","0.9","","","","","인과","","네 기둥이 각각 60갑자 하나","S12 역사·이론사·인물","S13 자리(궁위)·원국 구조","E-ffa4568f"
"L1결정론","60간지론","적용","일주","a→b","","","중립","0.9","","","","","인과","","네 기둥이 각각 60갑자 하나","S12 역사·이론사·인물","S13 자리(궁위)·원국 구조","E-b06f9aed"
"L1결정론","60간지론","적용","시주","a→b","","","중립","0.9","","","","","인과","","네 기둥이 각각 60갑자 하나","S12 역사·이론사·인물","S13 자리(궁위)·원국 구조","E-7d498333"
"L1결정론","60간지론","전제","일주","a→b","","","중립","0.9","","","","","목차","","60갑자 = 천간10 × 지지12","S12 역사·이론사·인물","S13 자리(궁위)·원국 구조","E-285ad459"
"L1결정론","간여지동","적용","일주","a→b","","","중립","0.9","","","","","인과","","간여지동은 주로 일주에서 본다","S03 지지·지장간","S13 자리(궁위)·원국 구조","E-e7c4c158"
"L1결정론","간여지동","구성","60간지론","a→b","","","중립","0.9","","","","","공리","","천간·지지가 같은 오행인 갑자 조합","S03 지지·지장간","S12 역사·이론사·인물","E-2241611f"
"L1결정론","간여지동","전제","신강","a→b","","","중립","0.9","","","","","목차","","간여지동은 가장 강한 통근 → 강약 판정에 직접 반영","S03 지지·지장간","S08 강약·격국·구조","E-69d96344"
"L1결정론","간여지동","전제","통근","a→b","","","중립","0.9","","","","","목차","","간여지동 = 천간·지지 동일 오행 = 가장 강한 통근","S03 지지·지장간","S03 지지·지장간","E-94ffb51c"
"L1결정론","격국 일반","전제","월지","a→b","수기","존재","중립","0.9","","","","","목차","","격국 = 월지 기준","S08 강약·격국·구조","S13 자리(궁위)·원국 구조","E-c658d162"
"L1결정론","격국 일반","롤업","정격(10정격)","a→b","","","중립","0.9","","","","","공리","","격국 분류","S08 강약·격국·구조","S08 강약·격국·구조","E-5778a1e0"
"L1결정론","격국 일반","롤업","전왕격","a→b","","","중립","0.9","","","","","공리","","격국 분류","S08 강약·격국·구조","S08 강약·격국·구조","E-bac0f625"
"L1결정론","격국 일반","롤업","종격","a→b","","","중립","0.9","","","","","공리","","격국 분류","S08 강약·격국·구조","S08 강약·격국·구조","E-5c7cef4e"
"L1결정론","격국 일반","롤업","특수격","a→b","","","중립","0.9","","","","","공리","","격국 분류","S08 강약·격국·구조","S08 강약·격국·구조","E-4b3011f5"
"L1결정론","고란살","전제","일주","a→b","","","중립","0.9","","","","","목차","","신살 산출 기준 — 특정 일주 목록","S06 신살","S13 자리(궁위)·원국 구조","E-84bf31b2"
"L1결정론","고립·불급","비교","중화","무향","","","-","0.9","","","","","목차","","중화의 반대 양극","S01 음양·오행","S08 강약·격국·구조","E-c58f5ab0"
"L1결정론","공망","전제","일주","a→b","","","중립","0.9","","","","","목차","","신살 산출 기준 — 일주(순중) 기준 공망","S06 신살","S13 자리(궁위)·원국 구조","E-39e19fdb"
"L1결정론","과다·태과","비교","중화","무향","","","-","0.9","","","","","목차","","중화의 반대 양극","S01 음양·오행","S08 강약·격국·구조","E-e0b8ac86"
"L1결정론","과다·태과","비교","고립·불급","무향","","","중립","0.9","","","","","목차","","같은 축의 양극단 — ""과한 것은 모자란 것과 같다""(코퍼스 축자)","S01 음양·오행","S01 음양·오행","E-f3d0ec3f"
"L1결정론","관성 일반","육친","배우자","a→b","여명","","+","0.9","","","","","공리","","십성 육친 배속","S05 십성·육친","S05 십성·육친","E-687c4e03"
"L1결정론","관성 일반","육친","자녀","a→b","남명","","+","0.9","","","","","공리","","십성 육친 배속","S05 십성·육친","S05 십성·육친","E-4920ca24"
"L1결정론","관성 일반","발현","직업·직무","a→b","","","","0.9","","","","","인과","","십성 명칭이 가리키는 영역 — 관성(官星) = 직장·조직 영역을 가리키는 이름 · ⚠영역 지시일 뿐 길흉 아님","S05 십성·육친","S15 발현·결과","E-313ee350"
"L1결정론","관인상생","구성","관성 일반","a→b","","","중립","0.9","","","","","공리","","관인상생 구성 십성","S05 십성·육친","S05 십성·육친","E-c6c04216"
"L1결정론","관인상생","구성","인성 일반","a→b","","","중립","0.9","","","","","공리","","관인상생 구성 십성","S05 십성·육친","S05 십성·육친","E-87943c00"
"L1결정론","괴강","전제","일주","a→b","","","중립","0.9","","","","","목차","","신살 산출 기준 — 특정 일주 목록(경진·임진·무술·경술)","S06 신살","S13 자리(궁위)·원국 구조","E-dfee68c8"
"L1결정론","교운기","전제","대운수","a→b","","","중립","0.9","","","","","목차","","대운수 시점 전후가 교운기","S10 대운·세운·운해석","S10 대운·세운·운해석","E-59c00e17"
"L1결정론","군겁쟁재","구성","비겁 일반","a→b","","","중립","0.9","","","","","공리","","군겁쟁재 구성 십성","S05 십성·육친","S05 십성·육친","E-e193f453"
"L1결정론","군겁쟁재","구성","재성 일반","a→b","","","중립","0.9","","","","","공리","","군겁쟁재 구성 십성","S05 십성·육친","S05 십성·육친","E-f4418baa"
"L1결정론","귀문","구성","자수(子)","a→b","","","중립","0.9","","","","","공리","","귀문관살 구성","S04 합충형파해","S03 지지·지장간","E-713e073f"
"L1결정론","귀문","구성","유금(酉)","a→b","","","중립","0.9","","","","","공리","","귀문관살 구성","S04 합충형파해","S03 지지·지장간","E-b5933f00"
"L1결정론","귀문","구성","축토(丑)","a→b","","","중립","0.9","","","","","공리","","귀문관살 구성","S04 합충형파해","S03 지지·지장간","E-1e086dcd"
"L1결정론","귀문","구성","오화(午)","a→b","","","중립","0.9","","","","","공리","","귀문관살 구성","S04 합충형파해","S03 지지·지장간","E-c3d3333a"
"L1결정론","귀문","구성","인목(寅)","a→b","","","중립","0.9","","","","","공리","","귀문관살 구성","S04 합충형파해","S03 지지·지장간","E-edcd7ed7"
"L1결정론","귀문","구성","미토(未)","a→b","","","중립","0.9","","","","","공리","","귀문관살 구성","S04 합충형파해","S03 지지·지장간","E-076d0357"
"L1결정론","귀문","구성","묘목(卯)","a→b","","","중립","0.9","","","","","공리","","귀문관살 구성","S04 합충형파해","S03 지지·지장간","E-06a6c7d3"
"L1결정론","귀문","구성","신금(申)","a→b","","","중립","0.9","","","","","공리","","귀문관살 구성","S04 합충형파해","S03 지지·지장간","E-b3c18ae7"
"L1결정론","귀문","구성","진토(辰)","a→b","","","중립","0.9","","","","","공리","","귀문관살 구성","S04 합충형파해","S03 지지·지장간","E-a0731b11"
"L1결정론","귀문","구성","해수(亥)","a→b","","","중립","0.9","","","","","공리","","귀문관살 구성","S04 합충형파해","S03 지지·지장간","E-eb31ffed"
"L1결정론","귀문","구성","사화(巳)","a→b","","","중립","0.9","","","","","공리","","귀문관살 구성","S04 합충형파해","S03 지지·지장간","E-b30a0b48"
"L1결정론","귀문","구성","술토(戌)","a→b","","","중립","0.9","","","","","공리","","귀문관살 구성","S04 합충형파해","S03 지지·지장간","E-cf3b9c0c"
"L1결정론","근묘화실","구성","연주","a→b","","","중립","0.9","","","","","공리","","근묘화실 자리 배속","S13 자리(궁위)·원국 구조","S13 자리(궁위)·원국 구조","E-463498f9"
"L1결정론","근묘화실","구성","월주","a→b","","","중립","0.9","","","","","공리","","근묘화실 자리 배속","S13 자리(궁위)·원국 구조","S13 자리(궁위)·원국 구조","E-0ca245a2"
"L1결정론","근묘화실","구성","일지","a→b","","","중립","0.9","","","","","공리","","근묘화실 자리 배속","S13 자리(궁위)·원국 구조","S13 자리(궁위)·원국 구조","E-648a06e9"
"L1결정론","근묘화실","구성","시주","a→b","","","중립","0.9","","","","","공리","","근묘화실 자리 배속","S13 자리(궁위)·원국 구조","S13 자리(궁위)·원국 구조","E-59efe6fa"
"L1결정론","금(金)","발현","장부·증상","a→b","","","중립","0.9","","","","","인과","","오행 장부 배속(명리·한의 공통 정론)","S01 음양·오행","S15 발현·결과","E-802abf7f"
"L1결정론","금여","전제","일간","a→b","","","중립","0.9","","","","","목차","","신살 산출 기준 — 일간 기준 조견표","S06 신살","S13 자리(궁위)·원국 구조","E-61355d6b"
"L1결정론","대운","비교","세운(연운)","무향","오행 · 운","존재","중립","0.9","","","","","목차","","대운은 10년 큰 흐름, 세운은 그 안의 1년 — 층이 다르다","S10 대운·세운·운해석","S10 대운·세운·운해석","E-2157ad17"
"L1결정론","대운","구성","대운수","a→b","","","중립","0.9","","","","","공리","","대운 산출 요소","S10 대운·세운·운해석","S10 대운·세운·운해석","E-d61fbd57"
"L1결정론","대운","구성","순행·역행","a→b","","","중립","0.9","","","","","공리","","대운 산출 요소","S10 대운·세운·운해석","S10 대운·세운·운해석","E-fc7cd8d8"
"L1결정론","대운","구성","교운기","a→b","","","중립","0.9","","","","","공리","","대운 산출 요소","S10 대운·세운·운해석","S10 대운·세운·운해석","E-64bf2f97"
"L1결정론","대운","전제","월주","a→b","","","중립","0.9","","","","","목차","","대운은 월주에서 출발","S10 대운·세운·운해석","S13 자리(궁위)·원국 구조","E-a05afafc"
"L1결정론","대운수","전제","절입","a→b","","","중립","0.9","","","","","목차","","절입까지의 일수 ÷3(나머지 1 버림·2 올림) — CLAUDE.md 확정","S10 대운·세운·운해석","S14 기본 골격어","E-4d4a8887"
"L1결정론","도화","전제","왕지(도화)","a→b","","","+","0.9","","","","","목차","","신살의 자리 근거(생지=역마·왕지=도화·고지=화개)","S06 신살","S03 지지·지장간","E-4793ea8f"
"L1결정론","득령·득지·득세","전제","신강","a→b","","","중립","0.9","","","","","목차","","강약 판정 3요소","S08 강약·격국·구조","S08 강약·격국·구조","E-163d3d37"
"L1결정론","득령·득지·득세","전제","신약","a→b","","","중립","0.9","","","","","목차","","강약 판정 3요소","S08 강약·격국·구조","S08 강약·격국·구조","E-5978a34d"
"L1결정론","득령·득지·득세","전제","신왕","a→b","","","중립","0.9","","","","","목차","","강약 판정 3요소","S08 강약·격국·구조","S08 강약·격국·구조","E-01109181"
"L1결정론","득령·득지·득세","전제","중화","a→b","","","중립","0.9","","","","","목차","","강약 판정 3요소","S08 강약·격국·구조","S08 강약·격국·구조","E-075ba507"
"L1결정론","득령·득지·득세","전제","통근","a→b","","","중립","0.9","","","","","목차","","득지·득세의 실체가 통근이다","S08 강약·격국·구조","S03 지지·지장간","E-acc0ff2a"
"L1결정론","만세력·시간보정","전제","절입","a→b","","","중립","0.9","","","","","목차","","만세력 = 절입 시각표","S14 기본 골격어","S14 기본 골격어","E-0c473bb5"
"L1결정론","만세력·시간보정","전제","시지","a→b","","","중립","0.9","","","","","목차","","시간 보정 −30분(동경 135→127.5) 적용 — CLAUDE.md 확정","S14 기본 골격어","S13 자리(궁위)·원국 구조","E-e8fd4979"
"L1결정론","만세력·시간보정","전제","시간(時干)","a→b","","","중립","0.9","","","","","목차","","시두법","S14 기본 골격어","S13 자리(궁위)·원국 구조","E-ec034bdc"
"L1결정론","목(木)","발현","장부·증상","a→b","","","중립","0.9","","","","","인과","","오행 장부 배속(명리·한의 공통 정론)","S01 음양·오행","S15 발현·결과","E-d54953fb"
"L1결정론","묘목(卯)","극","축토(丑)","a→b","","","-","0.9","","","","","공리","","지지 극 — 목(木)극토(土) · 무정지극(用 음→음)","S03 지지·지장간","S03 지지·지장간","E-1fc6b035"
"L1결정론","묘목(卯)","비화","인목(寅)","무향","","","중립","0.9","","","","","공리","","지지 비화(같은 오행 목(木))","S03 지지·지장간","S03 지지·지장간","E-0da71788"
"L1결정론","묘목(卯)","극","진토(辰)","a→b","","","-","0.9","","","","","공리","","지지 극 — 목(木)극토(土) · 유정지극(用 음→양)","S03 지지·지장간","S03 지지·지장간","E-f7a70f37"
"L1결정론","묘목(卯)","생","사화(巳)","a→b","","","+","0.9","","","","","공리","","지지 생 — 목(木)생화(火) · 유정지생(用 음→양)","S03 지지·지장간","S03 지지·지장간","E-9638eee1"
"L1결정론","묘목(卯)","생","오화(午)","a→b","","","+","0.9","","","","","공리","","지지 생 — 목(木)생화(火) · 무정지생(用 음→음)","S03 지지·지장간","S03 지지·지장간","E-12d6d4d7"
"L1결정론","묘목(卯)","극","미토(未)","a→b","","","-","0.9","","","","","공리","","지지 극 — 목(木)극토(土) · 무정지극(用 음→음)","S03 지지·지장간","S03 지지·지장간","E-f166380e"
"L1결정론","묘목(卯)","극","술토(戌)","a→b","","","-","0.9","","","","","공리","","지지 극 — 목(木)극토(土) · 유정지극(用 음→양)","S03 지지·지장간","S03 지지·지장간","E-9dd11137"
"L1결정론","문진·질문지","구성","프로브(확인 질문)","a→b","","","중립","0.9","","","","","공리","","문진 = 프로브의 묶음","S11 상담론·화법·윤리","S11 상담론·화법·윤리","E-415042f5"
"L1결정론","문창·문곡","전제","일간","a→b","","","중립","0.9","","","","","목차","","신살 산출 기준 — 일간 기준 조견표","S06 신살","S13 자리(궁위)·원국 구조","E-93e34ee4"
"L1결정론","미토(未)","극","자수(子)","a→b","","","-","0.9","","","","","공리","","지지 극 — 토(土)극수(水) · 무정지극(用 음→음)","S03 지지·지장간","S03 지지·지장간","E-fbbc5421"
"L1결정론","미토(未)","비화","축토(丑)","무향","","","중립","0.9","","","","","공리","","지지 비화(같은 오행 토(土))","S03 지지·지장간","S03 지지·지장간","E-786b0b36"
"L1결정론","미토(未)","비화","진토(辰)","무향","","","중립","0.9","","","","","공리","","지지 비화(같은 오행 토(土))","S03 지지·지장간","S03 지지·지장간","E-af547d86"
"L1결정론","미토(未)","생","신금(申)","a→b","","","+","0.9","","","","","공리","","지지 생 — 토(土)생금(金) · 유정지생(用 음→양)","S03 지지·지장간","S03 지지·지장간","E-a6ac2091"
"L1결정론","미토(未)","생","유금(酉)","a→b","","","+","0.9","","","","","공리","","지지 생 — 토(土)생금(金) · 무정지생(用 음→음)","S03 지지·지장간","S03 지지·지장간","E-222c315a"
"L1결정론","미토(未)","비화","술토(戌)","무향","","","중립","0.9","","","","","공리","","지지 비화(같은 오행 토(土))","S03 지지·지장간","S03 지지·지장간","E-df6757c0"
"L1결정론","미토(未)","극","해수(亥)","a→b","","","-","0.9","","","","","공리","","지지 극 — 토(土)극수(水) · 유정지극(用 음→양)","S03 지지·지장간","S03 지지·지장간","E-05298ad0"
"L1결정론","방합","구성","인목(寅)","a→b","","","중립","0.9","","","","","공리","","방합 구성","S04 합충형파해","S03 지지·지장간","E-acd70ec0"
"L1결정론","방합","구성","묘목(卯)","a→b","","","중립","0.9","","","","","공리","","방합 구성","S04 합충형파해","S03 지지·지장간","E-4132333b"
"L1결정론","방합","구성","진토(辰)","a→b","","","중립","0.9","","","","","공리","","방합 구성","S04 합충형파해","S03 지지·지장간","E-94f1bd2f"
"L1결정론","방합","귀결","목(木)","a→b","","","중립","0.9","","","","","인과","","방합 방(方) 오행","S04 합충형파해","S01 음양·오행","E-d0be9b00"
"L1결정론","방합","구성","사화(巳)","a→b","","","중립","0.9","","","","","공리","","방합 구성","S04 합충형파해","S03 지지·지장간","E-ca65e4d5"
"L1결정론","방합","구성","오화(午)","a→b","","","중립","0.9","","","","","공리","","방합 구성","S04 합충형파해","S03 지지·지장간","E-4023860f"
"L1결정론","방합","구성","미토(未)","a→b","","","중립","0.9","","","","","공리","","방합 구성","S04 합충형파해","S03 지지·지장간","E-255ca78c"
"L1결정론","방합","귀결","화(火)","a→b","","","중립","0.9","","","","","인과","","방합 방(方) 오행","S04 합충형파해","S01 음양·오행","E-7d9df7d7"
"L1결정론","방합","구성","신금(申)","a→b","","","중립","0.9","","","","","공리","","방합 구성","S04 합충형파해","S03 지지·지장간","E-9debc535"
"L1결정론","방합","구성","유금(酉)","a→b","","","중립","0.9","","","","","공리","","방합 구성","S04 합충형파해","S03 지지·지장간","E-b3acb5a7"
"L1결정론","방합","구성","술토(戌)","a→b","","","중립","0.9","","","","","공리","","방합 구성","S04 합충형파해","S03 지지·지장간","E-79d2deb2"
"L1결정론","방합","귀결","금(金)","a→b","","","중립","0.9","","","","","인과","","방합 방(方) 오행","S04 합충형파해","S01 음양·오행","E-5c6283ef"
"L1결정론","방합","구성","해수(亥)","a→b","","","중립","0.9","","","","","공리","","방합 구성","S04 합충형파해","S03 지지·지장간","E-37776f3b"
"L1결정론","방합","구성","자수(子)","a→b","","","중립","0.9","","","","","공리","","방합 구성","S04 합충형파해","S03 지지·지장간","E-585efc0a"
"L1결정론","방합","구성","축토(丑)","a→b","","","중립","0.9","","","","","공리","","방합 구성","S04 합충형파해","S03 지지·지장간","E-e54c9287"
